Cluster ID,Cluster Name,Year,Count
2,Electrical_Power_Systems,1981,7732
2,Electrical_Power_Systems,1982,9067
2,Electrical_Power_Systems,1983,7991
2,Electrical_Power_Systems,1984,7822
2,Electrical_Power_Systems,1985,7103
2,Electrical_Power_Systems,1986,6705
2,Electrical_Power_Systems,1987,9579
2,Electrical_Power_Systems,1988,9915
2,Electrical_Power_Systems,1989,12820
2,Electrical_Power_Systems,1990,12405
2,Electrical_Power_Systems,1991,11914
2,Electrical_Power_Systems,1992,14364
2,Electrical_Power_Systems,1993,14163
2,Electrical_Power_Systems,1994,15093
2,Electrical_Power_Systems,1995,16333
2,Electrical_Power_Systems,1996,19398
2,Electrical_Power_Systems,1997,20618
2,Electrical_Power_Systems,1998,24258
2,Electrical_Power_Systems,1999,27426
2,Electrical_Power_Systems,2000,29393
2,Electrical_Power_Systems,2001,33480
2,Electrical_Power_Systems,2002,41348
2,Electrical_Power_Systems,2003,44283
2,Electrical_Power_Systems,2004,54904
2,Electrical_Power_Systems,2005,57395
2,Electrical_Power_Systems,2006,65831
2,Electrical_Power_Systems,2007,70643
2,Electrical_Power_Systems,2008,85744
2,Electrical_Power_Systems,2009,101186
2,Electrical_Power_Systems,2010,117849
2,Electrical_Power_Systems,2011,137432
2,Electrical_Power_Systems,2012,170110
2,Electrical_Power_Systems,2013,192353
2,Electrical_Power_Systems,2014,200539
2,Electrical_Power_Systems,2015,220821
2,Electrical_Power_Systems,2016,234130
2,Electrical_Power_Systems,2017,263084
2,Electrical_Power_Systems,2018,294462
2,Electrical_Power_Systems,2019,325898
2,Electrical_Power_Systems,2020,343401
2,Electrical_Power_Systems,2021,371028
2,Electrical_Power_Systems,2022,387565
2,Electrical_Power_Systems,2023,383632
2,Electrical_Power_Systems,2024,409313
2,Electrical_Power_Systems,2025,121876
3,System_Architecture_and_Documentation,1897,4
3,System_Architecture_and_Documentation,1898,13
3,System_Architecture_and_Documentation,1899,21
3,System_Architecture_and_Documentation,1900,11
3,System_Architecture_and_Documentation,1901,11
3,System_Architecture_and_Documentation,1902,19
3,System_Architecture_and_Documentation,1903,19
3,System_Architecture_and_Documentation,1904,17
3,System_Architecture_and_Documentation,1905,26
3,System_Architecture_and_Documentation,1906,7
3,System_Architecture_and_Documentation,1907,16
3,System_Architecture_and_Documentation,1908,13
